Datetime,Open,High,Low,Close,Volume
2026-01-08T14:30:00Z,6953.5,6958.5,6948.75,6949.5,31414.0
2026-01-08T14:35:00Z,6949.5,6958.5,6949.0,6949.75,31665.0
2026-01-08T14:40:00Z,6949.75,6953.75,6941.25,6943.5,30177.0
2026-01-08T14:45:00Z,6943.75,6955.75,6940.0,6952.0,32845.0
2026-01-08T14:50:00Z,6951.75,6957.5,6947.75,6953.75,31171.0
2026-01-08T14:55:00Z,6953.75,6955.25,6947.75,6948.25,25462.0
2026-01-08T15:00:00Z,6948.25,6952.25,6944.0,6951.0,25155.0
2026-01-08T15:05:00Z,6951.0,6964.5,6949.5,6963.75,33063.0
2026-01-08T15:10:00Z,6963.75,6964.0,6958.5,6962.25,19081.0
2026-01-08T15:15:00Z,6962.5,6966.0,6960.75,6963.75,17625.0
2026-01-08T15:20:00Z,6963.5,6965.5,6960.5,6963.25,12845.0
2026-01-08T15:25:00Z,6963.0,6965.25,6959.75,6962.25,14526.0
2026-01-08T15:30:00Z,6962.25,6964.5,6957.75,6960.0,17702.0
2026-01-08T15:35:00Z,6960.0,6961.5,6952.75,6960.25,24184.0
2026-01-08T15:40:00Z,6960.0,6965.5,6958.25,6962.75,18812.0
2026-01-08T15:45:00Z,6962.75,6965.25,6956.0,6957.5,16041.0
2026-01-08T15:50:00Z,6957.5,6959.25,6951.0,6951.5,14342.0
2026-01-08T15:55:00Z,6951.25,6964.75,6950.75,6964.75,19661.0
2026-01-08T16:00:00Z,6964.5,6966.0,6962.0,6965.25,15142.0
2026-01-08T16:05:00Z,6965.25,6965.25,6956.25,6957.0,15403.0
2026-01-08T16:10:00Z,6957.25,6960.5,6954.25,6955.0,15083.0
2026-01-08T16:15:00Z,6955.0,6958.5,6952.25,6957.0,13462.0
2026-01-08T16:20:00Z,6957.25,6961.75,6956.0,6957.5,11609.0
2026-01-08T16:25:00Z,6957.75,6960.75,6954.75,6957.0,9406.0
2026-01-08T16:30:00Z,6957.0,6961.25,6955.25,6957.75,10249.0
2026-01-08T16:35:00Z,6957.75,6960.0,6950.25,6958.5,16242.0
2026-01-08T16:40:00Z,6958.25,6963.25,6957.75,6962.25,10960.0
2026-01-08T16:45:00Z,6962.25,6967.25,6961.75,6964.5,13744.0
2026-01-08T16:50:00Z,6964.5,6965.25,6957.75,6959.25,11263.0
2026-01-08T16:55:00Z,6959.25,6966.0,6958.25,6965.5,10239.0
2026-01-08T17:00:00Z,6965.25,6966.0,6960.75,6962.25,9538.0
2026-01-08T17:05:00Z,6962.0,6964.5,6960.25,6961.25,6458.0
2026-01-08T17:10:00Z,6961.0,6962.25,6958.75,6961.25,8080.0
2026-01-08T17:15:00Z,6961.25,6966.0,6960.0,6965.75,6886.0
2026-01-08T17:20:00Z,6966.0,6966.5,6961.5,6961.75,7603.0
2026-01-08T17:25:00Z,6961.5,6961.5,6957.5,6959.75,8743.0
2026-01-08T17:30:00Z,6959.5,6966.25,6959.25,6965.25,8481.0
2026-01-08T17:35:00Z,6965.0,6966.75,6964.0,6965.75,5934.0
2026-01-08T17:40:00Z,6965.5,6968.5,6964.5,6967.0,7417.0
2026-01-08T17:45:00Z,6967.0,6968.75,6965.5,6968.0,4852.0
2026-01-08T17:50:00Z,6968.25,6972.5,6968.25,6971.0,11228.0
2026-01-08T17:55:00Z,6971.0,6971.5,6966.75,6967.0,8206.0
2026-01-08T18:00:00Z,6967.0,6968.5,6963.75,6965.0,10633.0
2026-01-08T18:05:00Z,6964.75,6964.75,6961.0,6962.5,9550.0
2026-01-08T18:10:00Z,6962.75,6963.0,6954.5,6955.5,12356.0
2026-01-08T18:15:00Z,6955.25,6962.75,6954.0,6962.75,11835.0
2026-01-08T18:20:00Z,6962.75,6963.75,6958.5,6960.25,8790.0
2026-01-08T18:25:00Z,6960.5,6962.5,6958.75,6961.25,5677.0
2026-01-08T18:30:00Z,6961.25,6961.75,6958.75,6959.5,6911.0
2026-01-08T18:35:00Z,6959.25,6962.25,6958.75,6959.0,4240.0
2026-01-08T18:40:00Z,6959.0,6961.25,6958.5,6960.5,3728.0
2026-01-08T18:45:00Z,6960.5,6964.5,6958.75,6962.75,6285.0
2026-01-08T18:50:00Z,6962.5,6963.25,6956.25,6956.25,6924.0
2026-01-08T18:55:00Z,6956.25,6958.0,6953.75,6955.25,7755.0
2026-01-08T19:00:00Z,6955.0,6959.75,6953.25,6958.25,9358.0
2026-01-08T19:05:00Z,6958.0,6959.75,6957.0,6957.0,4558.0
2026-01-08T19:10:00Z,6957.0,6957.5,6952.5,6953.0,7320.0
2026-01-08T19:15:00Z,6953.5,6956.5,6949.25,6956.0,13543.0
2026-01-08T19:20:00Z,6956.0,6960.0,6954.75,6956.0,8333.0
2026-01-08T19:25:00Z,6956.0,6956.25,6953.75,6955.75,4652.0
2026-01-08T19:30:00Z,6955.5,6960.0,6955.25,6956.5,7201.0
2026-01-08T19:35:00Z,6956.5,6957.0,6953.5,6953.75,5165.0
2026-01-08T19:40:00Z,6954.0,6955.75,6952.25,6953.5,4772.0
2026-01-08T19:45:00Z,6953.25,6955.5,6953.0,6955.25,4829.0
2026-01-08T19:50:00Z,6955.25,6958.0,6954.0,6955.25,5556.0
2026-01-08T19:55:00Z,6955.25,6955.5,6952.25,6955.25,6428.0
2026-01-08T20:00:00Z,6955.0,6957.5,6953.75,6956.25,4684.0
2026-01-08T20:05:00Z,6956.0,6956.5,6953.75,6955.5,5183.0
2026-01-08T20:10:00Z,6955.5,6959.75,6955.25,6959.25,6988.0
2026-01-08T20:15:00Z,6959.25,6959.75,6956.0,6956.5,5651.0
2026-01-08T20:20:00Z,6956.25,6959.5,6955.0,6957.5,7281.0
2026-01-08T20:25:00Z,6957.75,6963.25,6957.75,6962.5,8623.0
2026-01-08T20:30:00Z,6962.5,6965.5,6962.25,6965.25,7852.0
2026-01-08T20:35:00Z,6965.5,6967.25,6961.25,6961.75,8689.0
2026-01-08T20:40:00Z,6962.0,6963.5,6959.0,6961.0,7720.0
2026-01-08T20:45:00Z,6960.75,6963.0,6959.75,6961.75,6298.0
2026-01-08T20:50:00Z,6961.75,6965.5,6959.0,6964.0,10968.0
2026-01-08T20:55:00Z,6964.0,6965.25,6960.25,6960.75,17342.0
2026-01-08T21:00:00Z,6960.75,6965.75,6960.75,6964.0,6054.0
2026-01-08T21:05:00Z,6964.0,6965.0,6963.0,6964.75,1517.0
2026-01-08T21:10:00Z,6964.5,6965.0,6963.25,6964.25,1906.0
2026-01-08T21:15:00Z,6964.5,6965.0,6964.25,6965.0,851.0
2026-01-08T21:20:00Z,6964.75,6966.0,6964.5,6965.25,697.0
2026-01-08T21:25:00Z,6965.5,6967.5,6965.25,6967.25,1302.0
2026-01-08T21:30:00Z,6967.25,6970.0,6967.25,6969.75,2237.0
2026-01-08T21:35:00Z,6970.0,6973.5,6969.75,6973.0,2723.0
2026-01-08T21:40:00Z,6973.0,6977.75,6973.0,6975.75,3853.0
2026-01-08T21:45:00Z,6975.75,6976.25,6975.0,6975.25,1482.0
2026-01-08T21:50:00Z,6975.75,6976.0,6973.5,6973.75,1352.0
2026-01-08T21:55:00Z,6973.75,6974.0,6971.0,6971.25,1757.0
2026-01-09T14:30:00Z,6970.5,6976.75,6968.5,6973.5,26938.0
2026-01-09T14:35:00Z,6973.5,6987.5,6973.25,6984.0,31649.0
2026-01-09T14:40:00Z,6983.75,6986.5,6976.25,6978.0,21221.0
2026-01-09T14:45:00Z,6978.0,6983.25,6969.25,6974.0,24482.0
2026-01-09T14:50:00Z,6974.0,6981.75,6970.75,6978.25,22617.0
2026-01-09T14:55:00Z,6978.25,6980.75,6970.75,6979.0,13376.0
2026-01-09T15:00:00Z,6979.5,6984.0,6969.75,6970.25,21955.0
2026-01-09T15:05:00Z,6970.25,6971.25,6955.5,6960.0,32061.0
2026-01-09T15:10:00Z,6960.0,6977.5,6958.75,6977.0,29651.0
2026-01-09T15:15:00Z,6977.0,6980.5,6973.25,6980.0,21705.0
2026-01-09T15:20:00Z,6980.0,6990.25,6976.5,6989.25,25922.0
2026-01-09T15:25:00Z,6989.5,6998.5,6988.5,6996.25,21806.0
2026-01-09T15:30:00Z,6996.25,6999.75,6991.25,6997.0,22595.0
2026-01-09T15:35:00Z,6997.0,6998.0,6992.25,6992.25,13546.0
2026-01-09T15:40:00Z,6992.5,6993.75,6981.0,6981.0,24387.0
2026-01-09T15:45:00Z,6981.25,6985.75,6977.25,6979.0,26018.0
2026-01-09T15:50:00Z,6979.0,6985.75,6978.5,6979.5,16504.0
2026-01-09T15:55:00Z,6979.5,6984.5,6977.25,6983.75,15016.0
2026-01-09T16:00:00Z,6983.75,6991.75,6983.75,6990.5,17629.0
