timestamp,equity,cash,safety_state,exposure_scale,dd_asof,ath_asof,overlay_reason,target_gross_exposure,actual_gross_exposure
2021-01-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-29,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-30,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-31,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
