Datetime,Open,High,Low,Close,Volume
2024-10-03 00:00:00,60636.19140625,61449.83984375,60542.91015625,61449.83984375,101367808
2024-10-03 04:00:00,61456.19140625,61457.328125,60892.5078125,60973.2578125,419885056
2024-10-03 08:00:00,60958.4140625,61039.375,60157.16796875,60767.96875,1314590720
2024-10-03 12:00:00,60753.328125,60841.09765625,59930.140625,60608.80078125,778207232
2024-10-03 16:00:00,60617.16015625,60989.94921875,60038.16796875,60984.953125,508637184
2024-10-03 20:00:00,61047.95703125,61075.8828125,60613.31640625,60746.625,0
2024-10-04 00:00:00,60747.640625,61264.2421875,60467.296875,60935.140625,261582848
2024-10-04 04:00:00,60945.32421875,61471.0703125,60945.32421875,61451.94921875,2564096
2024-10-04 08:00:00,61453.73828125,61626.30859375,61264.70703125,61438.76171875,0
2024-10-04 12:00:00,61433.9296875,61914.98828125,60809.96875,61833.66796875,715403264
2024-10-04 16:00:00,61850.671875,62463.86328125,61703.4453125,62382.94921875,179980288
2024-10-04 20:00:00,62395.703125,62464.609375,61994.08984375,62056.09375,0
2024-10-05 00:00:00,62067.1015625,62197.58203125,61689.58203125,61870.1171875,132063232
2024-10-05 04:00:00,61878.953125,62252.34375,61831.12109375,62091.13671875,0
2024-10-05 08:00:00,62094.9375,62321.2265625,62093.17578125,62186.4921875,19122176
2024-10-05 12:00:00,62185.5859375,62370.578125,62124.8125,62170.0625,0
2024-10-05 16:00:00,62166.19921875,62176.62890625,61784.76171875,61832.875,0
2024-10-05 20:00:00,61844.5625,62089.9453125,61721.21875,62089.9453125,0
2024-10-06 00:00:00,62066.37109375,62143.23828125,61883.11328125,61896.91796875,144497664
2024-10-06 04:00:00,61886.52734375,62007.73828125,61837.4921875,61952.36328125,0
2024-10-06 08:00:00,61956.03125,62146.1640625,61926.89453125,62107.50390625,37165056
2024-10-06 12:00:00,62111.65234375,62745.671875,62085.4453125,62716.82421875,1538455552
2024-10-06 16:00:00,62715.94921875,62922.4765625,62579.0625,62630.296875,545128448
2024-10-06 20:00:00,62632.46875,62899.4609375,62308.5546875,62820.15625,886689792
2024-10-07 00:00:00,62817.12890625,63927.2265625,62674.87109375,63508.1328125,4101173248
2024-10-07 04:00:00,63513.515625,63702.19140625,63342.6875,63553.015625,1499467776
2024-10-07 08:00:00,63551.65625,63697.390625,62665.421875,63054.69921875,3188428800
2024-10-07 12:00:00,63114.5625,64358.9765625,62833.15625,63656.97265625,5772570624
2024-10-07 16:00:00,63644.76953125,63870.87890625,62780.26953125,63352.53125,3205402624
2024-10-07 20:00:00,63346.47265625,63360.01171875,62210.0703125,62261.484375,1674594304
2024-10-08 00:00:00,62227.6640625,62784.5,62226.50390625,62590.23046875,0
2024-10-08 04:00:00,62608.40625,62756.0703125,62050.29296875,62269.0703125,772261888
2024-10-08 08:00:00,62286.90234375,62617.5546875,62236.2109375,62610.234375,250859520
2024-10-08 12:00:00,62597.5625,63156.3046875,61902.44140625,62266.04296875,371494912
2024-10-08 16:00:00,62253.39453125,62527.58984375,61875.328125,62300.26953125,162560000
2024-10-08 20:00:00,62208.7265625,62477.39453125,62010.87890625,62164.6484375,0
2024-10-09 00:00:00,62122.8359375,62436.94921875,62008.77734375,62339.625,180617216
2024-10-09 04:00:00,62344.16015625,62499.3203125,62174.8828125,62244.2734375,0
2024-10-09 08:00:00,62241.4140625,62248.77734375,62014.35546875,62138.29296875,0
2024-10-09 12:00:00,62145.99609375,62336.3046875,61617.984375,62278.21875,577306624
2024-10-09 16:00:00,62266.23046875,62269.890625,60802.50390625,61004.12109375,2218049536
2024-10-09 20:00:00,60984.1484375,61065.10546875,60394.44921875,60582.2265625,976467968
2024-10-10 00:00:00,60580.85546875,60893.0859375,60351.39453125,60808.140625,406806528
2024-10-10 04:00:00,60803.86328125,61081.20703125,60772.1953125,60865.63671875,178192384
2024-10-10 08:00:00,60851.74609375,61221.046875,60600.109375,61192.796875,1031708672
2024-10-10 12:00:00,61215.87109375,61223.6015625,60416.296875,60732.06640625,243605504
2024-10-10 16:00:00,60764.51171875,60890.98828125,58895.20703125,59659.26953125,3083335680
2024-10-10 20:00:00,59689.06640625,60270.890625,59556.98828125,60270.890625,425836544
2024-10-11 00:00:00,60280.33203125,60638.69921875,60048.89453125,60591.875,218066944
2024-10-11 04:00:00,60581.69140625,60863.69921875,60541.94921875,60641.03125,411138048
2024-10-11 08:00:00,60660.3046875,61214.5859375,60621.55078125,61164.7890625,497418240
2024-10-11 12:00:00,61137.82421875,62416.00390625,61121.27734375,62416.00390625,1627430912
2024-10-11 16:00:00,62280.76953125,63372.8203125,62135.4609375,63017.21875,1539680256
2024-10-11 20:00:00,63084.94140625,63155.21875,62352.515625,62417.61328125,32356352
2024-10-12 00:00:00,62512.046875,63040.4375,62480.38671875,62539.2734375,323813376
2024-10-12 04:00:00,62539.87109375,62760.73828125,62539.87109375,62747.26953125,130648064
2024-10-12 08:00:00,62739.55078125,63225.2734375,62659.39453125,62905.4375,193036288
2024-10-12 12:00:00,62916.83984375,63438.76953125,62837.99609375,63121.12109375,0
2024-10-12 16:00:00,63148.75390625,63379.4375,62931.08203125,63016.546875,0
2024-10-12 20:00:00,62999.87109375,63350.11328125,62999.87109375,63196.0390625,0
2024-10-13 00:00:00,63190.76953125,63270.203125,62673.96484375,62684.33203125,61743104
2024-10-13 04:00:00,62694.1171875,62954.69921875,62694.1171875,62834.20703125,71213056
2024-10-13 08:00:00,62837.3828125,62945.3671875,62514.1484375,62537.5,457504768
2024-10-13 12:00:00,62542.28515625,62766.9140625,62045.83984375,62226.04296875,263940096
2024-10-13 16:00:00,62215.28515625,62802.42578125,62173.88671875,62708.03125,935302144
2024-10-13 20:00:00,62719.62890625,63086.8359375,62592.54296875,62870.05078125,1190665216
2024-10-14 00:00:00,62843.5859375,64252.234375,62458.0,64236.484375,2951145472
