import time: self [us] | cumulative | imported package
import time:       347 |      16765 |     pydantic._migration
import time:       150 |        150 |         typing_inspection
import time:      1696 |       1696 |         typing_inspection.typing_objects
import time:       856 |       2701 |       typing_inspection.introspection
import time:       132 |        132 |       pydantic._internal
import time:       388 |        388 |           pydantic._internal._namespace_utils
import time:       462 |        849 |         pydantic._internal._typing_extra
import time:       278 |       1127 |       pydantic._internal._repr
import time:       468 |       4426 |     pydantic.errors
import time:       972 |      22163 |   pydantic
import time:        88 |         88 |       pydantic._internal._internal_dataclass
import time:      1179 |       1267 |     pydantic.aliases
import time:       968 |        968 |     pydantic.config
import time:       384 |       2618 |   pydantic._internal._config
import time:       211 |        211 |     pydantic._internal._core_utils
import time:       117 |        117 |       pydantic._internal._import_utils
import time:       855 |        972 |     pydantic._internal._utils
import time:      3267 |       4449 |   pydantic._internal._decorators
import time:      9085 |       9085 |       pydantic._internal._forward_ref
import time:       556 |       9641 |     pydantic._internal._generics
import time:       285 |        285 |     pydantic._internal._docs_extraction
import time:       456 |      10382 |   pydantic._internal._fields
import time:       554 |        554 |       pydantic.plugin
import time:       314 |        868 |     pydantic.plugin._schema_validator
import time:       387 |       1255 |   pydantic._internal._mock_val_ser
import time:      1247 |       1247 |       fractions
import time:       177 |        177 |       pydantic.annotated_handlers
import time:      2943 |       2943 |       pydantic.functional_validators
import time:       288 |        288 |         pydantic._internal._core_metadata
import time:       202 |        202 |         pydantic._internal._schema_generation_shared
import time:      2065 |       2554 |       pydantic.json_schema
import time:       305 |        305 |       pydantic._internal._discriminated_union
import time:       278 |        278 |       pydantic._internal._known_annotated_metadata
import time:       541 |        541 |       pydantic._internal._schema_gather
import time:      1453 |       9494 |     pydantic._internal._generate_schema
import time:       168 |        168 |     pydantic._internal._signature
import time:       551 |      10213 |   pydantic._internal._model_construction
import time:      5886 |       5886 |     annotated_types
import time:       391 |        391 |     pydantic._internal._validators
import time:      5497 |       5497 |     pydantic.types
import time:      2011 |      13784 |   pydantic.fields
import time:       155 |        155 |       email
import time:       318 |        318 |       importlib.metadata._meta
import time:       243 |        243 |       importlib.metadata._collections
import time:       107 |        107 |       importlib.metadata._functools
import time:        99 |         99 |       importlib.metadata._itertools
import time:       360 |        360 |       importlib.abc
import time:      1203 |       2481 |     importlib.metadata
import time:       249 |       2730 |   pydantic.plugin._loader
import time:      8608 |     415970 | antigravity_harness.portfolio_policies
