import time: self [us] | cumulative | imported package
import time:       295 |      14485 |               numpy.linalg
import time:       493 |      14977 |             numpy.matrixlib.defmatrix
import time:       275 |      15252 |           numpy.matrixlib
import time:       310 |        310 |             numpy.lib._histograms_impl
import time:      1404 |       1713 |           numpy.lib._function_base_impl
import time:       723 |      17687 |         numpy.lib._index_tricks_impl
import time:       494 |      18180 |       numpy.lib._arraypad_impl
import time:       960 |        960 |       numpy.lib._arraysetops_impl
import time:       221 |        221 |       numpy.lib._arrayterator_impl
import time:       430 |        430 |       numpy.lib._nanfunctions_impl
import time:        79 |         79 |                 _wmi
import time:       734 |        813 |               platform
import time:       277 |       1089 |             numpy.lib._utils_impl
import time:       247 |       1335 |           numpy.lib._format_impl
import time:       124 |       1459 |         numpy.lib.format
import time:       266 |        266 |         numpy.lib._datasource
import time:       361 |        361 |         numpy.lib._iotools
import time:       670 |       2754 |       numpy.lib._npyio_impl
import time:       187 |        187 |           numpy.lib._ufunclike_impl
import time:       290 |        476 |         numpy.lib._type_check_impl
import time:       580 |       1056 |       numpy.lib._polynomial_impl
import time:       370 |        370 |       numpy.lib._shape_base_impl
import time:       144 |        144 |       numpy.lib._version
import time:       115 |        115 |       numpy.lib.introspect
import time:       204 |        204 |       numpy.lib.mixins
import time:       115 |        115 |       numpy.lib.npyio
import time:       246 |        246 |         numpy.lib._scimath_impl
import time:       120 |        366 |       numpy.lib.scimath
import time:       115 |        115 |       numpy.lib.stride_tricks
import time:       677 |      25700 |     numpy.lib
import time:       152 |        152 |     numpy._array_api_info
import time:      1574 |      89524 |   numpy
import time:       160 |        160 |       dateutil._version
import time:       160 |        320 |     dateutil
import time:      1174 |       1174 |       pandas.compat._constants
import time:       115 |        115 |           pandas.util
import time:      1605 |       1720 |         pandas.util.version
import time:       346 |       2065 |       pandas.compat.numpy
import time:       211 |        211 |           pyarrow._generated_version
import time:       335 |        335 |             zlib
import time:       822 |        822 |               _decimal
import time:       257 |       1079 |             decimal
import time:        96 |         96 |             cloudpickle
import time:       523 |        523 |             signal
import time:        44 |         44 |               gc
import time:       414 |        414 |                 _socket
import time:      1151 |       1565 |               socket
import time:       259 |       1867 |             pyarrow.util
import time:        40 |         40 |             atexit
import time:       292 |        292 |               _uuid
import time:       499 |        791 |             uuid
import time:       147 |        147 |                 _heapq
import time:       193 |        339 |               heapq
import time:       163 |        163 |               _queue
import time:       323 |        824 |             queue
import time:     16363 |      21914 |           pyarrow.lib
import time:       271 |        271 |           pyarrow.ipc
import time:       829 |        829 |           pyarrow.types
import time:       524 |      23748 |         pyarrow
import time:       307 |      24054 |       pandas.compat.pyarrow
import time:       280 |      27573 |     pandas.compat
import time:       333 |        333 |             numpy._typing._add_docstring
import time:       189 |        521 |           numpy.typing
import time:       414 |        414 |                 numpy.random._common
import time:       176 |        176 |                     binascii
import time:       256 |        431 |                   base64
import time:      1624 |       1624 |                     _hashlib
import time:      1044 |       1044 |                     _hmac
import time:       263 |       2930 |                   hmac
import time:       137 |        137 |                       _bisect
import time:       139 |        276 |                     bisect
import time:       166 |        166 |                     _random
import time:       471 |        911 |                   random
import time:       205 |       4475 |                 secrets
import time:       506 |       5394 |               numpy.random.bit_generator
import time:       369 |       5763 |             numpy.random._bounded_integers
import time:       259 |        259 |                 numpy.random._pcg64
import time:      1081 |       1339 |               numpy.random._generator
import time:       234 |        234 |               numpy.random._mt19937
import time:       241 |        241 |               numpy.random._philox
import time:       197 |        197 |               numpy.random._sfc64
import time:       983 |        983 |               numpy.random.mtrand
import time:       236 |       3228 |             numpy.random._pickle
import time:       248 |       9238 |           numpy.random
import time:      2311 |      12068 |         pandas._typing
import time:       184 |        184 |         pandas.util._exceptions
import time:       964 |      13215 |       pandas._config.config
import time:       249 |        249 |       pandas._config.dates
import time:        76 |         76 |           _locale
import time:       653 |        729 |         locale
import time:       166 |        895 |       pandas._config.display
import time:       236 |      14594 |     pandas._config
import time:       140 |        140 |       pandas.core
import time:       316 |        316 |             pandas._libs.pandas_parser
import time:       155 |        155 |             pandas._libs.pandas_datetime
import time:       287 |        287 |                           pandas._libs._cyutility
import time:       262 |        549 |                         pandas._libs.tslibs.ccalendar
import time:       318 |        318 |                         pandas._libs.tslibs.np_datetime
import time:       909 |       1775 |                       pandas._libs.tslibs.dtypes
import time:       227 |        227 |                         pandas._libs.tslibs.base
import time:       520 |        520 |                             pandas._libs.tslibs.nattype
import time:       252 |        252 |                                   zoneinfo._tzpath
import time:       168 |        168 |                                   zoneinfo._common
import time:       194 |        194 |                                   _zoneinfo
import time:       243 |        856 |                                 zoneinfo
import time:       173 |        173 |                                 pandas.compat._optional
import time:      2274 |       2274 |                                     six
import time:        40 |         40 |                                     six.moves
import time:       398 |        398 |                                     dateutil.tz._common
import time:       343 |        343 |                                     dateutil.tz._factories
import time:        43 |         43 |                                       six.moves.winreg
import time:       426 |        468 |                                     dateutil.tz.win
import time:      1558 |       5079 |                                   dateutil.tz.tz
import time:       158 |       5236 |                                 dateutil.tz
import time:       506 |       6771 |                               pandas._libs.tslibs.timezones
import time:       318 |        318 |                                 pandas._libs.properties
import time:       446 |        763 |                               pandas.util._decorators
import time:       843 |        843 |                                   calendar
import time:      1215 |       2058 |                                 _strptime
import time:       557 |        557 |                                     msvcrt
import time:       418 |        418 |                                     _posixsubprocess
import time:       458 |        458 |                                     select
import time:       968 |        968 |                                     selectors
import time:       711 |       3110 |                                   subprocess
import time:       169 |       3278 |                                 pandas._config.localization
import time:       431 |       5766 |                               pandas._libs.tslibs.fields
import time:       809 |      14108 |                             pandas._libs.tslibs.timedeltas
import time:       402 |        402 |                             pandas._libs.tslibs.tzconversion
import time:      1011 |      16039 |                           pandas._libs.tslibs.timestamps
import time:       120 |        120 |                           dateutil.easter
import time:      2031 |      18189 |                         pandas._libs.tslibs.offsets
import time:        36 |         36 |                                 _string
import time:       277 |        313 |                               string
import time:       157 |        157 |                               dateutil._common
import time:      1924 |       2393 |                             dateutil.parser._parser
import time:       287 |        287 |                             dateutil.parser.isoparser
import time:       228 |       2907 |                           dateutil.parser
import time:       837 |        837 |                           pandas._libs.tslibs.strptime
import time:       604 |       4347 |                         pandas._libs.tslibs.parsing
import time:       470 |      23231 |                       pandas._libs.tslibs.conversion
import time:       700 |        700 |                       pandas._libs.tslibs.period
import time:       349 |        349 |                       pandas._libs.tslibs.vectorized
import time:       243 |      26296 |                     pandas._libs.tslibs
import time:        35 |      26331 |                   pandas._libs.tslibs.nattype
import time:       216 |        216 |                   pandas._libs.ops_dispatch
import time:       426 |      26972 |                 pandas._libs.missing
import time:      1207 |      28179 |               pandas._libs.hashtable
import time:       728 |        728 |               pandas._libs.algos
import time:       693 |      29598 |             pandas._libs.interval
import time:       206 |      30274 |           pandas._libs
import time:        33 |      30307 |         pandas._libs.tslibs
import time:      3641 |      33948 |       pandas.errors
import time:      1123 |      35210 |     pandas.core.config_init
import time:       148 |        148 |         pandas.core.dtypes
import time:      1027 |       1027 |         pandas._libs.lib
import time:       360 |        360 |           pandas.core.dtypes.generic
import time:       352 |        711 |         pandas.core.dtypes.base
import time:       192 |        192 |         pandas.core.dtypes.inference
import time:      1503 |       3580 |       pandas.core.dtypes.dtypes
import time:       336 |        336 |         pandas.core.dtypes.common
import time:       303 |        639 |       pandas.core.dtypes.missing
import time:       119 |        119 |             pandas.io
import time:       243 |        361 |           pandas.io._util
import time:       571 |        932 |         pandas.core.dtypes.cast
import time:       152 |        152 |           pandas.core.dtypes.astype
import time:       183 |        334 |         pandas.core.dtypes.concat
import time:       102 |        102 |           pandas.core.array_algos
import time:      4350 |       4350 |               numpy.ma.core
import time:      1086 |       1086 |               numpy.ma.extras
import time:       284 |       5719 |             numpy.ma
import time:       270 |        270 |               pandas.core.col
import time:       374 |        644 |             pandas.core.common
import time:       368 |       6730 |           pandas.core.construction
import time:       404 |       7234 |         pandas.core.array_algos.take
import time:       337 |        337 |           pandas.core.indexers.utils
import time:       145 |        482 |         pandas.core.indexers
import time:       504 |       9484 |       pandas.core.algorithms
import time:      4084 |       4084 |               pyarrow._compute
import time:       172 |        172 |               pyarrow._compute_docstrings
import time:       116 |        116 |               pyarrow.vendored
import time:       323 |        323 |                   pkgutil
import time:       116 |        116 |                     urllib
import time:      1012 |       1012 |                     ipaddress
import time:       947 |       2074 |                   urllib.parse
import time:       177 |        177 |                     codeop
import time:       167 |        167 |                         copy
import time:       692 |        859 |                       dataclasses
import time:      4597 |       5456 |                     _colorize
import time:       790 |       6421 |                   traceback
import time:       174 |        174 |                     _pyrepl
import time:       247 |        421 |                   _pyrepl.pager
import time:      1398 |      10635 |                 pydoc
import time:      1291 |      11925 |               pyarrow.vendored.docscrape
import time:     19614 |      35909 |             pyarrow.compute
import time:       440 |      36348 |           pandas.core.arrays.arrow.accessors
import time:       254 |        254 |             unicodedata
import time:       378 |        378 |             pandas.core.missing
import time:       351 |        351 |                 pandas._libs.ops
import time:       153 |        153 |                 pandas.core.roperator
import time:       134 |        134 |                 pandas.core.computation
import time:       219 |        219 |                   pandas.core.computation.check
import time:       320 |        539 |                 pandas.core.computation.expressions
import time:       116 |        116 |                 pandas.core.ops.missing
import time:       127 |        127 |                 pandas.core.ops.dispatch
import time:       137 |        137 |                 pandas.core.ops.invalid
import time:       464 |       2019 |               pandas.core.ops.array_ops
import time:       138 |        138 |               pandas.core.ops.common
import time:       203 |        203 |               pandas.core.ops.docstrings
import time:       144 |        144 |               pandas.core.ops.mask_ops
import time:       220 |       2721 |             pandas.core.ops
import time:       367 |        367 |             pandas.core.arraylike
import time:       326 |        326 |             pandas.core.arrays._arrow_string_mixins
import time:       132 |        132 |             pandas.core.arrays._utils
import time:       215 |        215 |                 pandas.util._validators
import time:       274 |        488 |               pandas.compat.numpy.function
import time:       141 |        141 |               pandas.core.array_algos.quantile
import time:       228 |        228 |               pandas.core.sorting
import time:       671 |       1526 |             pandas.core.arrays.base
import time:       811 |        811 |               pandas.core.nanops
import time:       114 |        114 |               pandas.core.array_algos.masked_accumulations
import time:       121 |        121 |               pandas.core.array_algos.masked_reductions
import time:       125 |        125 |               pandas.core.array_algos.transforms
import time:       168 |        168 |                 pandas.core.util
import time:       371 |        371 |                 pandas._libs.hashing
import time:       324 |        863 |               pandas.core.util.hashing
import time:       959 |       2989 |             pandas.core.arrays.masked
import time:       292 |        292 |               pandas._libs.arrays
import time:       247 |        247 |                 pandas.core.arrays.numeric
import time:       259 |        506 |               pandas.core.arrays.floating
import time:       298 |        298 |               pandas.core.arrays.integer
import time:       364 |        364 |                 pandas.core.arrays._mixins
import time:       112 |        112 |                   pandas.core.strings
import time:       526 |        637 |                 pandas.core.strings.object_array
import time:       378 |       1379 |               pandas.core.arrays.numpy_
import time:       123 |        123 |               pandas.io.formats
import time:       105 |        105 |                         compression
import time:       163 |        268 |                       compression._common
import time:       233 |        233 |                       compression._common._streams
import time:       324 |        324 |                       _bz2
import time:       275 |       1098 |                     bz2
import time:       308 |        308 |                       _lzma
import time:       263 |        571 |                     lzma
import time:       310 |        310 |                       _zstd
import time:       262 |        262 |                       compression.zstd._zstdfile
import time:       960 |       1531 |                     compression.zstd
import time:       760 |       3958 |                   shutil
import time:       157 |       4114 |                 pandas.io.formats.console
import time:       444 |       4558 |               pandas.io.formats.printing
import time:       688 |       7842 |             pandas.core.arrays.string_
import time:       131 |        131 |               pandas.tseries
import time:       464 |        594 |             pandas.tseries.frequencies
import time:      1683 |      18807 |           pandas.core.arrays.arrow.array
import time:       233 |      55387 |         pandas.core.arrays.arrow
import time:       401 |        401 |         pandas.core.arrays.boolean
import time:       233 |        233 |             _csv
import time:       351 |        584 |           csv
import time:       275 |        275 |           pandas.core.accessor
import time:       503 |        503 |           pandas.core.base
import time:      1096 |       2456 |         pandas.core.arrays.categorical
